,part_name,accuracy,hallucination_rate,feature_name_matching_rate,mae,quantity_absolute_error,true_positive_quantity,ground_truth_quantity,hallucinated_quantity,predicted_quantity,correctly_identified_names,ground_truth_names_count,category
22,hard_18,28.57142857142857,33.33333333333333,66.66666666666666,0.35294117647058826,6,2,7,1,3,2,3,hard
3,hard_19,30.76923076923077,71.42857142857143,80.0,1.1176470588235294,19,4,13,10,14,4,5,hard
83,hard_20,5.263157894736842,33.33333333333333,50.0,1.1764705882352942,20,1,19,1,3,1,2,hard
75,hard_21,33.33333333333333,0.0,66.66666666666666,0.35294117647058826,6,3,9,0,3,2,3,hard
54,hard_22,100.0,68.75,100.0,0.6470588235294118,11,5,5,11,16,4,4,hard
59,hard_23,14.285714285714285,66.66666666666666,33.33333333333333,0.6470588235294118,11,1,7,4,6,1,3,hard
25,hard_24,62.5,62.5,100.0,0.8235294117647058,14,5,8,10,16,5,5,hard
28,hard_25,9.090909090909092,0.0,66.66666666666666,1.1764705882352942,20,2,22,0,2,2,3,hard
51,hard_26,66.66666666666666,71.42857142857143,50.0,0.35294117647058826,6,2,3,5,7,1,2,hard
77,hard_27,22.22222222222222,33.33333333333333,50.0,0.47058823529411764,8,2,9,1,3,1,2,hard
20,hard_28,36.36363636363637,75.0,100.0,1.1176470588235294,19,4,11,12,16,3,3,hard
56,hard_29,33.33333333333333,50.0,50.0,0.5294117647058824,9,3,9,3,6,2,4,hard
95,hard_30,57.14285714285714,75.0,100.0,0.8823529411764706,15,4,7,12,16,3,3,hard
96,hard_31,17.647058823529413,0.0,50.0,0.8235294117647058,14,3,17,0,3,2,4,hard
55,hard_32,36.36363636363637,42.857142857142854,75.0,0.5882352941176471,10,4,11,3,7,3,4,hard
7,hard_33,12.5,66.66666666666666,20.0,0.5294117647058824,9,1,8,2,3,1,5,hard
84,hard_34,42.857142857142854,81.25,100.0,1.0,17,3,7,13,16,2,2,hard
47,medium_1,75.0,50.0,100.0,0.23529411764705882,4,3,4,3,6,2,2,medium
19,medium_2,50.0,50.0,50.0,0.35294117647058826,6,2,4,3,6,2,4,medium
10,medium_3,40.0,25.0,50.0,0.29411764705882354,5,2,5,1,4,2,4,medium
60,medium_4,40.0,50.0,100.0,0.4117647058823529,7,2,5,3,6,2,2,medium
81,medium_5,50.0,57.14285714285714,75.0,0.4117647058823529,7,3,6,4,7,3,4,medium
85,medium_6,66.66666666666666,50.0,66.66666666666666,0.17647058823529413,3,2,3,2,4,2,3,medium
39,medium_7,75.0,50.0,100.0,0.35294117647058826,6,3,4,4,8,3,3,medium
78,medium_8,66.66666666666666,42.857142857142854,75.0,0.29411764705882354,5,4,6,3,7,3,4,medium
38,medium_9,25.0,66.66666666666666,33.33333333333333,0.29411764705882354,5,1,4,2,3,1,3,medium
88,medium_10,20.0,85.71428571428571,50.0,0.5882352941176471,10,1,5,6,7,1,2,medium
24,medium_11,80.0,37.5,80.0,0.29411764705882354,5,4,5,3,8,4,5,medium
31,medium_12,33.33333333333333,0.0,66.66666666666666,0.29411764705882354,5,2,6,0,3,2,3,medium
53,medium_13,54.54545454545454,0.0,83.33333333333334,0.29411764705882354,5,6,11,0,6,5,6,medium
97,medium_14,80.0,16.666666666666664,80.0,0.17647058823529413,3,4,5,1,6,4,5,medium
33,medium_15,17.857142857142858,16.666666666666664,66.66666666666666,1.411764705882353,24,5,28,1,6,4,6,medium
57,medium_16,50.0,25.0,100.0,0.23529411764705882,4,3,6,1,4,2,2,medium
4,medium_17,5.88235294117647,50.0,50.0,1.0,17,1,17,1,2,1,2,medium
68,medium_18,25.0,80.0,50.0,0.4117647058823529,7,1,4,4,5,1,2,medium
14,medium_19,75.0,40.0,100.0,0.17647058823529413,3,3,4,2,5,2,2,medium
1,medium_20,37.5,0.0,62.5,0.5882352941176471,10,6,16,0,6,5,8,medium
79,medium_21,16.666666666666664,50.0,25.0,0.35294117647058826,6,1,6,1,2,1,4,medium
2,medium_22,42.857142857142854,0.0,100.0,0.23529411764705882,4,3,7,0,3,2,2,medium
30,medium_23,50.0,62.5,66.66666666666666,0.47058823529411764,8,3,6,5,8,2,3,medium
42,medium_24,66.66666666666666,75.0,75.0,0.8235294117647058,14,4,6,12,16,3,4,medium
36,medium_25,11.76470588235294,33.33333333333333,50.0,0.9411764705882353,16,2,17,1,3,1,2,medium
82,medium_26,10.526315789473683,50.0,100.0,1.1176470588235294,19,2,19,2,4,1,1,medium
44,medium_27,50.0,33.33333333333333,50.0,0.17647058823529413,3,2,4,1,3,1,2,medium
12,medium_28,75.0,0.0,100.0,0.058823529411764705,1,3,4,0,3,2,2,medium
52,medium_29,80.0,75.0,100.0,0.7647058823529411,13,4,5,12,16,3,3,medium
61,medium_30,0.0,100.0,0.0,0.35294117647058826,6,0,3,3,3,0,2,medium
58,medium_31,0.0,100.0,0.0,0.29411764705882354,5,0,3,2,2,0,2,medium
63,medium_32,28.57142857142857,50.0,33.33333333333333,0.4117647058823529,7,2,7,2,4,1,3,medium
35,medium_33,33.33333333333333,33.33333333333333,50.0,0.29411764705882354,5,2,6,1,3,1,2,medium
