Feature name,Overall Accuracy,Overall Hallucination Rate,Easy Accuracy,Easy Hallucination Rate,Medium Accuracy,Medium Hallucination Rate,Hard Accuracy,Hard Hallucination Rate,Model,Experiment
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.44,0.15384615384615385,1.0,0.125,0.19047619047619047,0.2,0.5,0.15384615384615385,GPT-4o,Exp_2_Improved_Prompts
Chamfer / Bevel (Sharp Edge),0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,GPT-4o,Exp_2_Improved_Prompts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPT-4o,Exp_2_Improved_Prompts
Fillet / Round (Concave / Convex),0.6728971962616822,0.13333333333333333,0.9166666666666666,0.25,0.5714285714285714,0.10526315789473684,0.6716417910447762,0.10909090909090909,GPT-4o,Exp_2_Improved_Prompts
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.8333333333333334,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,GPT-4o,Exp_2_Improved_Prompts
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,GPT-4o,Exp_2_Improved_Prompts
Gusset,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,GPT-4o,Exp_2_Improved_Prompts
Hole (Through / Blind Hole),0.54739336492891,0.008438818565400843,0.8695652173913043,0.0,0.7310924369747899,0.02247191011235955,0.4046692607003891,0.0,GPT-4o,Exp_2_Improved_Prompts
Neck,1.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,GPT-4o,Exp_2_Improved_Prompts
Pipe / Tube,0.38461538461538464,0.16666666666666666,0.0,0.0,0.0,1.0,0.5,0.0,GPT-4o,Exp_2_Improved_Prompts
Pocket (Blind / Through / Circular End Pocket),0.32,0.15,0.2631578947368421,0.16666666666666666,0.3157894736842105,0.125,0.4166666666666667,0.16666666666666666,GPT-4o,Exp_2_Improved_Prompts
Rib,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,GPT-4o,Exp_2_Improved_Prompts
Sheet Metal Features,0.375,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,GPT-4o,Exp_2_Improved_Prompts
Slot (Through / Blind / T-Slot / Dovetail),0.6705882352941176,0.1323529411764706,0.5625,0.3076923076923077,0.5769230769230769,0.0625,0.7674418604651163,0.10256410256410256,GPT-4o,Exp_2_Improved_Prompts
Step (Through / Blind Step),0.4583333333333333,0.3684210526315789,0.6666666666666666,0.5,0.5454545454545454,0.3,0.3,0.4,GPT-4o,Exp_2_Improved_Prompts
Threaded Feature,0.5555555555555556,0.0,0.5,0.0,0.75,0.0,0.3333333333333333,0.0,GPT-4o,Exp_2_Improved_Prompts
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.4,0.16666666666666666,0.7142857142857143,0.16666666666666666,0.2857142857142857,0.14285714285714285,0.4090909090909091,0.18181818181818182,GPT-4o,Exp_3_Multi_View
Chamfer / Bevel (Sharp Edge),0.4166666666666667,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,GPT-4o,Exp_3_Multi_View
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPT-4o,Exp_3_Multi_View
Fillet / Round (Concave / Convex),0.6355140186915887,0.058823529411764705,0.9166666666666666,0.2,0.6428571428571429,0.08695652173913043,0.582089552238806,0.0,GPT-4o,Exp_3_Multi_View
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.7777777777777778,1.0,0.0,0.0,1.0,0.0,1.0,GPT-4o,Exp_3_Multi_View
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,GPT-4o,Exp_3_Multi_View
Gusset,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0,0.0,0.9090909090909091,0.16666666666666666,GPT-4o,Exp_3_Multi_View
Hole (Through / Blind Hole),0.6279620853080569,0.01444043321299639,0.9130434782608695,0.044444444444444446,0.8319327731092437,0.018867924528301886,0.48249027237354086,0.0,GPT-4o,Exp_3_Multi_View
Neck,1.0,0.75,1.0,0.0,0.0,1.0,0.0,1.0,GPT-4o,Exp_3_Multi_View
Pipe / Tube,0.5384615384615384,0.2727272727272727,0.0,0.0,0.3333333333333333,0.75,0.6,0.0,GPT-4o,Exp_3_Multi_View
Pocket (Blind / Through / Circular End Pocket),0.42,0.125,0.42105263157894735,0.2,0.3157894736842105,0.14285714285714285,0.5833333333333334,0.0,GPT-4o,Exp_3_Multi_View
Rib,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,GPT-4o,Exp_3_Multi_View
Sheet Metal Features,0.25,0.0,0.0,0.0,0.5,0.0,0.16666666666666666,0.0,GPT-4o,Exp_3_Multi_View
Slot (Through / Blind / T-Slot / Dovetail),0.7647058823529411,0.1038961038961039,0.5625,0.1,0.7692307692307693,0.047619047619047616,0.8372093023255814,0.13043478260869565,GPT-4o,Exp_3_Multi_View
Step (Through / Blind Step),0.4166666666666667,0.3125,0.6666666666666666,0.5,0.5454545454545454,0.3,0.2,0.0,GPT-4o,Exp_3_Multi_View
Threaded Feature,0.8888888888888888,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,GPT-4o,Exp_3_Multi_View
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.54,0.12903225806451613,1.0,0.125,0.47619047619047616,0.09090909090909091,0.45454545454545453,0.16666666666666666,GPT-4o,Exp_4a_Multi_View_Few_Shot
Chamfer / Bevel (Sharp Edge),0.3333333333333333,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Fillet / Round (Concave / Convex),0.42990654205607476,0.08333333333333333,0.9166666666666666,0.2,0.39285714285714285,0.15384615384615385,0.3582089552238806,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.5,1.0,0.0,0.0,1.0,0.0,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Gusset,0.75,0.0,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Hole (Through / Blind Hole),0.5710900473933649,0.016129032258064516,0.8695652173913043,0.047619047619047616,0.7899159663865546,0.020618556701030927,0.4163424124513619,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Neck,1.0,0.5,1.0,0.0,0.0,1.0,0.0,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Pipe / Tube,0.5384615384615384,0.1111111111111111,0.0,0.0,0.3333333333333333,0.5,0.6,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Pocket (Blind / Through / Circular End Pocket),0.3,0.21052631578947367,0.42105263157894735,0.1111111111111111,0.3157894736842105,0.14285714285714285,0.08333333333333333,0.6666666666666666,GPT-4o,Exp_4a_Multi_View_Few_Shot
Rib,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Sheet Metal Features,0.375,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
Slot (Through / Blind / T-Slot / Dovetail),0.7411764705882353,0.10666666666666667,0.6875,0.08333333333333333,0.6923076923076923,0.05263157894736842,0.7906976744186046,0.13636363636363635,GPT-4o,Exp_4a_Multi_View_Few_Shot
Step (Through / Blind Step),0.4166666666666667,0.3888888888888889,0.6666666666666666,0.5,0.5454545454545454,0.3,0.2,0.5,GPT-4o,Exp_4a_Multi_View_Few_Shot
Threaded Feature,0.8888888888888888,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,GPT-4o,Exp_4a_Multi_View_Few_Shot
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.5,0.16666666666666666,1.0,0.125,0.3333333333333333,0.125,0.5,0.21428571428571427,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Chamfer / Bevel (Sharp Edge),0.4166666666666667,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Draft,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Fillet / Round (Concave / Convex),0.6728971962616822,0.12087912087912088,0.9166666666666666,0.25,0.7142857142857143,0.041666666666666664,0.6119402985074627,0.11764705882352941,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.8461538461538461,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Gusset,0.75,0.18181818181818182,0.0,0.0,0.0,0.0,0.8181818181818182,0.18181818181818182,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Hole (Through / Blind Hole),0.6255924170616114,0.018115942028985508,0.8913043478260869,0.045454545454545456,0.8235294117647058,0.02857142857142857,0.48638132295719844,0.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Neck,1.0,0.5,1.0,0.0,0.0,0.0,0.0,1.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Pipe / Tube,0.38461538461538464,0.16666666666666666,0.0,0.0,0.0,1.0,0.5,0.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Pocket (Blind / Through / Circular End Pocket),0.34,0.10526315789473684,0.3157894736842105,0.14285714285714285,0.21052631578947367,0.2,0.5833333333333334,0.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Rib,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Sheet Metal Features,0.375,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Slot (Through / Blind / T-Slot / Dovetail),0.7647058823529411,0.11538461538461539,0.5625,0.18181818181818182,0.7692307692307693,0.047619047619047616,0.8372093023255814,0.13043478260869565,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Step (Through / Blind Step),0.4583333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5454545454545454,0.3,0.3,0.25,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
Threaded Feature,0.7777777777777778,0.0,1.0,0.0,0.75,0.0,0.6666666666666666,0.0,GPT-4o,Exp_4b_Multi_View_Chain_of_Thougths
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.58,0.21621621621621623,1.0,0.125,0.47619047619047616,0.09090909090909091,0.5454545454545454,0.3333333333333333,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Chamfer / Bevel (Sharp Edge),0.3333333333333333,0.0,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Fillet / Round (Concave / Convex),0.6261682242990654,0.07407407407407407,0.9166666666666666,0.29411764705882354,0.7142857142857143,0.041666666666666664,0.5373134328358209,0.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.6,1.0,0.0,0.0,1.0,0.0,0.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Gusset,0.75,0.18181818181818182,0.0,0.0,0.0,0.0,0.8181818181818182,0.18181818181818182,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Hole (Through / Blind Hole),0.5947867298578199,0.011583011583011582,0.8913043478260869,0.023255813953488372,0.7983193277310925,0.020202020202020204,0.4474708171206226,0.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Neck,1.0,0.75,1.0,0.0,0.0,1.0,0.0,1.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Pipe / Tube,0.46153846153846156,0.14285714285714285,0.0,0.0,0.0,1.0,0.6,0.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Pocket (Blind / Through / Circular End Pocket),0.44,0.18518518518518517,0.47368421052631576,0.1,0.3157894736842105,0.25,0.5833333333333334,0.2222222222222222,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Rib,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Sheet Metal Features,0.375,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Slot (Through / Blind / T-Slot / Dovetail),0.6823529411764706,0.08955223880597014,0.625,0.09090909090909091,0.7692307692307693,0.045454545454545456,0.6511627906976745,0.11764705882352941,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Step (Through / Blind Step),0.5833333333333334,0.3181818181818182,0.6666666666666666,0.5,0.8181818181818182,0.23076923076923078,0.3,0.4,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
Threaded Feature,0.8888888888888888,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.0,GPT-4o,Exp_5_Multi_View_Few_Shot_Chain_of_thoughts
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.84,0.5818181818181818,1.0,0.7419354838709677,0.8095238095238095,0.5,0.8181818181818182,0.5333333333333333,Claude-3.5,Exp_1_Basic_Prompts
Chamfer / Bevel (Sharp Edge),0.25,0.9117647058823529,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.0,1.0,Claude-3.5,Exp_1_Basic_Prompts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_1_Basic_Prompts
Fillet / Round (Concave / Convex),0.411214953271028,0.1509433962264151,0.4166666666666667,0.25,0.2857142857142857,0.2,0.4626865671641791,0.11428571428571428,Claude-3.5,Exp_1_Basic_Prompts
"Freeform Features (Depression, Protrusion)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_1_Basic_Prompts
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Claude-3.5,Exp_1_Basic_Prompts
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_1_Basic_Prompts
Hole (Through / Blind Hole),0.7014218009478673,0.057750759878419454,0.8913043478260869,0.21428571428571427,0.8739495798319328,0.058333333333333334,0.5875486381322957,0.0,Claude-3.5,Exp_1_Basic_Prompts
Neck,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Claude-3.5,Exp_1_Basic_Prompts
Pipe / Tube,0.7692307692307693,0.5833333333333334,0.0,1.0,0.6666666666666666,0.6,0.8,0.42857142857142855,Claude-3.5,Exp_1_Basic_Prompts
Pocket (Blind / Through / Circular End Pocket),0.22,0.2,0.2631578947368421,0.0,0.2631578947368421,0.0,0.08333333333333333,0.75,Claude-3.5,Exp_1_Basic_Prompts
Sheet Metal Features,0.125,0.0,0.0,0.0,0.5,0.0,0.0,0.0,Claude-3.5,Exp_1_Basic_Prompts
Slot (Through / Blind / T-Slot / Dovetail),0.6941176470588235,0.13924050632911392,0.625,0.09090909090909091,0.6538461538461539,0.19047619047619047,0.7441860465116279,0.1276595744680851,Claude-3.5,Exp_1_Basic_Prompts
Step (Through / Blind Step),0.5,0.6176470588235294,1.0,0.7272727272727273,0.2727272727272727,0.6923076923076923,0.6,0.4,Claude-3.5,Exp_1_Basic_Prompts
Threaded Feature,0.4444444444444444,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.0,Claude-3.5,Exp_1_Basic_Prompts
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.7,0.25,1.0,0.3076923076923077,0.47619047619047616,0.3333333333333333,0.8181818181818182,0.17857142857142858,Claude-3.5,Exp_2_Improved_Prompts
Chamfer / Bevel (Sharp Edge),0.25,0.875,0.16666666666666666,0.8888888888888888,0.3333333333333333,0.75,0.0,1.0,Claude-3.5,Exp_2_Improved_Prompts
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_2_Improved_Prompts
Fillet / Round (Concave / Convex),0.4672897196261682,0.13559322033898305,0.6666666666666666,0.18181818181818182,0.25,0.4166666666666667,0.5223880597014925,0.027777777777777776,Claude-3.5,Exp_2_Improved_Prompts
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.5,0.0,0.0,0.0,1.0,0.2,0.0,Claude-3.5,Exp_2_Improved_Prompts
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Claude-3.5,Exp_2_Improved_Prompts
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_2_Improved_Prompts
Hole (Through / Blind Hole),0.6800947867298578,0.044585987261146494,0.8695652173913043,0.14,0.8403361344537815,0.06086956521739131,0.5719844357976653,0.0,Claude-3.5,Exp_2_Improved_Prompts
Neck,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,Claude-3.5,Exp_2_Improved_Prompts
Pipe / Tube,0.7692307692307693,0.3333333333333333,0.0,1.0,0.3333333333333333,0.6666666666666666,0.9,0.18181818181818182,Claude-3.5,Exp_2_Improved_Prompts
Pocket (Blind / Through / Circular End Pocket),0.2,0.14285714285714285,0.3684210526315789,0.0,0.15789473684210525,0.0,0.0,1.0,Claude-3.5,Exp_2_Improved_Prompts
Rib,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,Claude-3.5,Exp_2_Improved_Prompts
Sheet Metal Features,0.75,0.14285714285714285,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,Claude-3.5,Exp_2_Improved_Prompts
Slot (Through / Blind / T-Slot / Dovetail),0.611764705882353,0.12857142857142856,0.6875,0.0,0.34615384615384615,0.3076923076923077,0.7441860465116279,0.10869565217391304,Claude-3.5,Exp_2_Improved_Prompts
Step (Through / Blind Step),0.5,0.5357142857142857,0.3333333333333333,0.8,0.36363636363636365,0.6153846153846154,0.7,0.3,Claude-3.5,Exp_2_Improved_Prompts
Threaded Feature,0.4444444444444444,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.0,Claude-3.5,Exp_2_Improved_Prompts
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.64,0.17073170731707318,0.7142857142857143,0.0,0.6190476190476191,0.06666666666666667,0.6363636363636364,0.2857142857142857,Claude-3.5,Exp_3_Multi_View
Chamfer / Bevel (Sharp Edge),0.25,0.7857142857142857,0.16666666666666666,0.6666666666666666,0.3333333333333333,0.7777777777777778,0.0,1.0,Claude-3.5,Exp_3_Multi_View
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_3_Multi_View
Fillet / Round (Concave / Convex),0.5700934579439252,0.15584415584415584,0.75,0.3333333333333333,0.42857142857142855,0.2857142857142857,0.5970149253731343,0.024390243902439025,Claude-3.5,Exp_3_Multi_View
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.2,0.0,Claude-3.5,Exp_3_Multi_View
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Claude-3.5,Exp_3_Multi_View
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_3_Multi_View
Hole (Through / Blind Hole),0.9004739336492891,0.02689486552567237,0.9782608695652174,0.12280701754385964,0.907563025210084,0.03278688524590164,0.8832684824902723,0.0,Claude-3.5,Exp_3_Multi_View
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_3_Multi_View
Pipe / Tube,0.6923076923076923,0.4,0.0,1.0,0.0,1.0,0.9,0.18181818181818182,Claude-3.5,Exp_3_Multi_View
Pocket (Blind / Through / Circular End Pocket),0.22,0.21428571428571427,0.2631578947368421,0.0,0.3157894736842105,0.14285714285714285,0.0,1.0,Claude-3.5,Exp_3_Multi_View
Sheet Metal Features,0.625,0.0,0.0,0.0,1.0,0.0,0.5,0.0,Claude-3.5,Exp_3_Multi_View
Slot (Through / Blind / T-Slot / Dovetail),0.7058823529411765,0.15584415584415584,0.75,0.1875,0.5,0.2222222222222222,0.813953488372093,0.11627906976744186,Claude-3.5,Exp_3_Multi_View
Step (Through / Blind Step),0.75,0.574468085106383,0.6666666666666666,0.7777777777777778,0.7272727272727273,0.5238095238095238,0.8,0.5294117647058824,Claude-3.5,Exp_3_Multi_View
Threaded Feature,0.7777777777777778,0.0,1.0,0.0,0.75,0.0,0.6666666666666666,0.0,Claude-3.5,Exp_3_Multi_View
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.44,0.1111111111111111,0.5714285714285714,0.0,0.38095238095238093,0.1,0.45454545454545453,0.16666666666666666,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Chamfer / Bevel (Sharp Edge),0.16666666666666666,0.9259259259259259,0.16666666666666666,0.875,0.16666666666666666,0.8,0.0,1.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Fillet / Round (Concave / Convex),0.6448598130841121,0.25,0.6666666666666666,0.5,0.7142857142857143,0.3888888888888889,0.6119402985074627,0.023809523809523808,Claude-3.5,Exp_4a_Multi_View_Few_Shot
"Freeform Features (Depression, Protrusion)",0.16666666666666666,0.5,0.0,0.0,0.0,1.0,0.2,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Gear Teeth,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Gusset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Hole (Through / Blind Hole),0.8436018957345972,0.04639175257731959,0.9782608695652174,0.1694915254237288,0.907563025210084,0.06451612903225806,0.7898832684824902,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Neck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Pipe / Tube,0.6153846153846154,0.4666666666666667,0.0,1.0,0.3333333333333333,0.8,0.7,0.2222222222222222,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Pocket (Blind / Through / Circular End Pocket),0.28,0.3333333333333333,0.3157894736842105,0.14285714285714285,0.3157894736842105,0.14285714285714285,0.16666666666666666,0.7142857142857143,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Sheet Metal Features,0.375,0.0,0.0,0.0,0.5,0.0,0.3333333333333333,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Slot (Through / Blind / T-Slot / Dovetail),0.5176470588235295,0.09259259259259259,0.4375,0.1111111111111111,0.34615384615384615,0.2857142857142857,0.6511627906976745,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Step (Through / Blind Step),0.625,0.6363636363636364,0.3333333333333333,0.8888888888888888,0.6363636363636364,0.5789473684210527,0.7,0.5625,Claude-3.5,Exp_4a_Multi_View_Few_Shot
Threaded Feature,0.5555555555555556,0.0,0.5,0.0,0.75,0.0,0.3333333333333333,0.0,Claude-3.5,Exp_4a_Multi_View_Few_Shot
"Boss (Circular / Obround / Irregular / Rectangular, etc)",0.7,0.17777777777777778,0.8571428571428571,0.125,0.6190476190476191,0.07142857142857142,0.7272727272727273,0.2608695652173913,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Chamfer / Bevel (Sharp Edge),0.25,0.8125,0.16666666666666666,0.8888888888888888,0.3333333333333333,0.3333333333333333,0.0,1.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Draft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
Fillet / Round (Concave / Convex),0.5700934579439252,0.17647058823529413,0.8333333333333334,0.2857142857142857,0.7142857142857143,0.2,0.4626865671641791,0.08823529411764706,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
"Freeform Features (Depression, Protrusion)",0.3333333333333333,0.3333333333333333,1.0,0.5,0.0,0.0,0.2,0.0,Claude-3.5,Exp_4b_Multi_View_Chain_of_Thougths
